lonCountry,latCountry,lonClub,latClub
54.366669,24.466667,-2.1990463197084864,53.48448708029151
-120.740135,47.751076,-2.9594810197085053,53.4321783802915
51.534817,25.286106,2.254397680291504,48.84278458029149
35.217018,31.771959,-3.1981184197084985,40.4375428802915
2.349014,48.864716,-1.7128682999999683,48.1074784
-120.740135,47.751076,12.46723069999996,41.7478382
-120.740135,47.751076,-0.10708901970849638,51.78623748029149
37.618423,55.751244,-0.20960751970848833,51.40301198029149
-120.740135,47.751076,-2.290412519708525,53.1653447802915
116.363625,39.913818.125310980291488,45.47947258029149
116.363625,39.913818,4.983377980291493,45.76664398029149
103.851959,1.290270,-0.358225,39.174604
16.363449,48.210033,12.348789780291554,51.3469522802915
13.404954,52.520008,8.887690180291543,49.23999038029151
2.349014,48.864716,5.397236280291509,43.2711759802915
51.534817,25.286106,-4.426651099999958,36.7335796
55.296249,25.276987,-3.7135909197085084,40.02707568029149
116.363625,39.913818,1.684765,41.327973
37.618423,55.751244,7.415496,43.7384176
116.363625,39.913818,8.83377280000002,45.7073706
