name,lon,lat
Bayern Munich,-80.23751141970848,25.9593154802915
Real Madrid,-3.686995519708489,40.4544030802915
Manchester City,-2.1990463197084864,53.48448708029151
Barcelona,2.124168780291484,41.3822449802915
Liverpool,-2.9594810197085053,53.4321783802915
Paris Saint-Germain,2.254397680291504,48.84278458029149
Juventus,7.64261338029155,45.1109179802915
Atletico Madrid,-3.5981184197084985,40.4375428802915
Tottenham Hotspur,-0.0650323197085072,51.6056345802915
Napoli,14.194410080291505,40.8292854802915
AS Roma,12.456073980291535,41.93542598029149
Arsenal,-0.10708901970849638,51.55623748029149
Lazio,-115.16765011970847,36.1261707802915
Chelsea,-0.18960751970848833,51.48301198029149
Borussia Dortmund,7.453206380291476,51.4939377802915
Atalanta,-94.8218277197085,39.12294188029149
FC Porto,-8.582242019708474,41.1631189802915
Manchester United,-2.290412519708525,53.4653447802915
Internazionale,9.125310980291488,45.47947258029149
Bayer Leverkusen,7.1161303999999745,51.0972118
Lyon,4.983377980291493,45.76664398029149
Valencia,-118.56025101970852,34.4201548802915
Real Sociedad,-1.9242114999999558,43.3287143
FC Salzburg,-74.14888651970847,40.7381925802915
TSG Hoffenheim,8.887690180291543,49.23999038029151
CSKA Moscow,37.51750318029144,55.79305568029149
Schalke 04,7.06887518029157,51.5559798802915
Marseille,5.397236280291509,43.2711759802915
Sevilla FC,-94.8218277197085,39.12294188029149
Benfica,-9.183425019708466,38.7540599802915
Shakhtar Donetsk,37.81157048029149,48.0224555802915
Eibar,-2.474619319708495,43.18312458029149
RB Leipzig,12.348789780291554,51.3469522802915
Fenerbahce,29.037913780291547,40.9890383802915
Real Betis,-5.980403119708512,37.35785268029149
Getafe,-3.7135909197085084,40.32707568029149
Villarreal,-0.1025898197085553,39.9447358802915
Espanyol,-97.0931449197085,32.7486333802915
Fiorentina,11.07641548029153,43.70868558029149
Athletic Bilbao,-116.19448301970851,43.6042162802915
Eintracht Frankfurt,-121.92328601970848,37.3524923802915
AS Monaco,-104.9147220197085,39.6522229802915
VfB Stuttgart,9.233428980291478,48.7936066802915
Werder Bremen,8.8389540802915,53.0677817802915
Galatasaray,28.992591980291536,41.1045519802915
Besiktas,28.995457680291565,41.04074438029149
AC Milan,-93.25646641970849,44.97510038029149
Borussia Monchengladbach,6.386854480291504,51.1759187802915
Alavés,-2.6868946197084824,42.83843478029149
Zenit St Petersburg,30.22275348029143,59.9740769802915
